name;inedible_part
Artichokes;0.60
Asparagus;0.40
Avocados;0.30
Basil;0.10
Beetroots;0.10
Broccoli;0.20
Brussels sprout;0.10
Cabbage;0.20
Carrots;0.10
Cassava;0.10
Cauliflower;0.20
Celeriac;0.10
Celery;0.03
Chesnut;0.50
Chicory;0.20
Chinese or Japanese artichokes;0.10
Coriander;0.10
Cucumbers;0.10
Eggplant;0.10
Endive;0.20
Escaroles;0.40
Fennel;0.20
French bean;0.10
Garden cress;0.20
Garden peas;0.20
Green Celery;0.03
Green peas;0.00
Jerusalemen artichoke;0.10
Leek;0.20
Lettuce;0.40
Mint;0.10
Mushroom;0.10
Olives;0.50
Onions;0.10
Parsley;0.10
Peppers;0.03
Potatoes;0.10
Pumpkin;0.20
Radish;0.03
Red endive;0.20
Salad;0.40
Salsify;0.20
Shallot;0.10
Spinach;0.03
Sweet potatoes or Yams;0.10
Tarragon;0.20
Tomatoes;0.03
Turnips;0.20
Almonds;0.50
Apple;0.10
Apricot;0.20
Banana;0.30
Blackberries;0.03
Blueberries;0.03
Cherry;0.20
Currant;0.20
Grapefruit;0.30
Pomelos;0.30
Lemon;0.30
Mandarin;0.20
Mango;0.20
Melon;0.40
Orange;0.20
Peach;0.20
Pear;0.10
Pineapple;0.50
Plum;0.20
Pomegranate;0.20
Raspberries;0.03
Strawberries;0.03
Table grape;0.10
Grape;0.10
Walnuts;0.50
Egg;0.10
Lieu ou colin d'Alaska;0.64
Thon germon ou thon blanc;0.40
Bar rayé ou bar d'Amérique;0.56
Pecten d'Amérique ou Peigne du canada, noix;0.86
Anchois;0.50
Lotte ou baudroie;0.64
Omble chevalier;0.50
Bar ou loup de l'Atlantique;0.56
Maquereau espagnol ou maquereau blanc ou billard;0.48
Flétan de l'Atlantique ou flétan blanc;0.40
Hareng fumé, à l'huile;0.50
Pecten d'Amérique ou Peigne du canada, noix, crue;0.86
Coulirou;0.48
Joëls (petits poissons entiers) pour fritures;0.50
Dorade grise, ou daurade grise, ou griset;0.58
Dorade rose, ou daurade rose;0.58
Grenadier bleu ou hoki de Nouvelle-Zélande;0.60
Lingue bleue ou Lingue;0.64
Empereur, filet, sans peau;0.64
Bogue;0.50
Bonite;0.40
Pangasius ou Poisson-chat;0.56
Corb;0.40
Capelan;0.40
Carpe, élevage;0.50
Cabillaud;0.64
Limande;0.64
Denté;0.64
Sole;0.58
Congre;0.64
Carangue;0.40
Bar commun ou loup;0.56
Merlu;0.60
Perche;0.50
Sardine, à l'huile d'olive, appertisée, égouttée;0.50
Carrelet ou plie;0.64
Sprat;0.50
Brème;0.56
Orphie commune;0.50
Dorade royale ou daurade ou vraie daurade, élevage;0.56
Grand sébaste, ou dorade sébaste, ou daurade sébaste;0.64
Flétan du Groënland ou flétan noir ou flétan commun;0.64
Hoki, tout lieu de pêche;0.64
Mérou;0.40
Églefin;0.64
Chinchard gras;0.48
Saint-Pierre;0.64
Sabre;0.64
Limande-sole;0.64
Julienne ou Lingue;0.64
Maquereau;0.48
Bar commun ou loup (Méditerranée), élevage;0.56
Cardine franche;0.64
Moule;0.75
Mulet;0.64
Perche du Nil;0.50
Langoustine;0.69
Roussette ou petite roussette ou saumonette;0.64
Panga, Pangasius, ou poisson-chat du Mékong, filet, cuit;0.56
Pétoncle ou Peigne du Pérou, noix;0.86
Lieu jaune ou colin;0.64
Éperlan;0.50
Tacaud;0.64
Truite arc en ciel, élevage;0.50
Raie;0.64
Grondin;0.58
Grenadier (de roche);0.64
Lieu noir;0.64
Saupe;0.58
Saumon;0.50
Truite saumonée;0.50
Coquille Saint-Jacques, noix et corail;0.86
Truite de mer;0.50
Merlu blanc du Cap;0.60
Requin;0.64
Crevette;0.55
Thon listao ou Bonite à ventre rayé;0.40
Vivaneau;0.40
Rascasse;0.64
Loup tacheté;0.64
Calmar ou calamar ou encornet;0.64
Rouget-barbet de roche;0.58
Espadon;0.40
Sole tropicale ou Sole langue;0.58
Truite d'élevage;0.50
Grondin perlon;0.64
Thon;0.40
Turbot d'élevage;0.56
Merlan;0.64
Thon albacore ou thon jaune;0.40
