name;inedible_part
Viande avec os;0.2
Viande sans os;0
légume frais;0.2
légume en conserve;0
légume surgelé;0
légume séché;0
légume en bocal;0
fruit frais;0.2
fruit en conserve;0
fruit surgelé;0
fruit séché;0
confiture;0
compote;0
viande fraîche;0.1
viande surgelée;0.1
viande séchée;0
charcuterie;0
viande en conserve;0
poisson frais;0.4
poisson surgelé;0
poisson en conserve;0
poisson fumé;0
poisson séché;0
fruits de mer;0.5
crustacés;0.5
lait frais;0
lait UHT;0
fromage;0
yaourt;0
beurre;0
crème fraîche;0
lait en poudre;0
céréale;0
farine;0
pain;0
pâtes;0
riz;0
semoule;0
noix;0.5
graine;0
huile;0
beurre de cacahuète;0
épice;0
herbe aromatique;0.1
sauce;0
vinaigre;0
moutarde;0
sel;0
sucre;0
œuf;0.12
œuf en poudre;0
