Id unique,under review,item,item trad,icv final,database,location,antilles,visible
EB_id0001,,Agave,Agave,"Agave tequilana, at farm {MX} U",Agribalyse 3.2,MX,,TRUE
EB_id0002,,"Almonds, in shell",Amandes en coquille,"Almonds, in shell, at farm {CN} - Adapted from WFLDB U",Agribalyse 3.2,CN,,TRUE
EB_id0003,,Amaranth,Amarante,"Durum wheat grain, at farm {ES} - Adapted from WFLDB U",Agribalyse 3.2,ES,,TRUE
EB_id0005,,Apple,Pomme,"Apple {IT}| apple production | Cut-off, U",Ecoinvent 3.11,IT,,TRUE
EB_id0006,,Apricots,Abricot,"Apricot {ES}| apricot production | Cut-off, U",Ecoinvent 3.11,ES,,TRUE
EB_id0008,,Asparagus,Asperge,"White asparagus {FR}| white asparagus production | Cut-off, U - Copied from Ecoinvent U",Agribalyse 3.2,FR,,TRUE
EB_id0009,,Avocado,Avocat,"Avocado {GLO}| avocado production | Cut-off, U",Ecoinvent 3.11,GLO,,TRUE
EB_id0012,,Banana,Banane,"Banana {RoW}| banana production | Cut-off, U - Adapted from Ecoinvent U",Agribalyse 3.2,RoW,TRUE,TRUE
EB_id0014,,Bay leaves,Feuilles de laurier,"Mint {IN}| mint production | Cut-off, U",Ecoinvent 3.11,IN,,TRUE
EB_id0016,,Beetroot,Betterave,"Beetroot for juice, conventional, at farm gate {FR} U",Agribalyse 3.2,FR,,TRUE
EB_id0017,,"Bell pepper, green, yellow or red","Poivron, vert, jaune ou rouge","Bell pepper {FR}| bell pepper production, in unheated greenhouse | Cut-off, U - Adapted from Ecoinvent U",Agribalyse 3.2,FR,,TRUE
EB_id0019,,Black currant,Cassis,"Strawberry {ES}| strawberry production, open field, macro tunnel | Cut-off, U",Ecoinvent 3.11,ES,,TRUE
EB_id0020,,Black mulberry,Mûre noire,"Blackberry, at farm {RS} - Adapted from WFLDB U",Agribalyse 3.2,RS,,TRUE
EB_id0022,,Blueberry,Myrtille,"Blueberry, at farm {CA} - Adapted from WFLDB U",Agribalyse 3.2,CA,,TRUE
EB_id0025,,Breadfruit,Fruit à pain,"Mango, at farm (WFLDB)",WFLDB,MX,,TRUE
EB_id0026,,Broad bean,Fève,"Fava bean, Swiss integrated production {CH}| fava bean production, Swiss integrated production, at farm | Cut-off, U - Adapted from Ecoinvent U",Agribalyse 3.2,CH,,TRUE
EB_id0027,,Broccoli,Brocoli,"Broccoli {CH}| broccoli production, conventional, plain region | Cut-off, U",Ecoinvent 3.11,CH,,TRUE
EB_id0030,,Brussels sprout,Chou de Bruxelles,"Cauliflower, conventional, national average, at farm gate {FR} U",Agribalyse 3.2,FR,,TRUE
EB_id0033,,Cardoon,Cardoon,"Cauliflower, conventional, national average, at farm gate {FR} U",Agribalyse 3.2,FR,,TRUE
EB_id0034,TRUE,Carrots,Carottes,"Carrot {NL}| carrot production | Cut-off, U - Adapted from Ecoinvent U",Agribalyse 3.2,NL,,TRUE
EB_id0037,,Cauliflower,Chou-fleur,"Cauliflower, conventional, national average, at farm gate {FR} U",Agribalyse 3.2,FR,,TRUE
EB_id0038,TRUE,Celeriac,Céleri-rave,"Carrot {NL}| carrot production | Cut-off, U - Adapted from Ecoinvent U",Agribalyse 3.2,NL,,TRUE
EB_id0039,,Celery,Céleri,"Celery {GLO}| 675 production | Cut-off, U - Adapted from Ecoinvent U",Agribalyse 3.2,GLO,,TRUE
EB_id0040,TRUE,Cherry,Cerise,"Cherry, at farm (WFLDB)",WFLDB,IT,,TRUE
EB_id0041,,Cherry tomato,Tomates cerises,"Tomato, fresh grade {ES}| tomato production, fresh grade, in unheated greenhouse | Cut-off, U - Copied from Ecoinvent U",Agribalyse 3.2,ES,,TRUE
EB_id0042,,Chestnut,Châtaigne,"Walnut, dried inshell, conventional, national average, at farm gate {FR} U",Agribalyse 3.2,FR,,TRUE
EB_id0044,,"Chickpeas, dried",Pois chiches,"Chickpea {IN}| chickpea production | Cut-off, U",Ecoinvent 3.11,IN,,TRUE
EB_id0045,,Chicory root,Racine de chicorée,"Chicory witloof, season, conventional, root production, at farm gate {FR} U",Agribalyse 3.2,FR,,TRUE
EB_id0046,,Chili peppers,Piments,"Bell pepper {FR}| bell pepper production, in unheated greenhouse | Cut-off, U - Adapted from Ecoinvent U",Ecoinvent 3.11,FR,,TRUE
EB_id0047,,Chive,Ciboulette,"Onion {NL}| onion production | Cut-off, U - Adapted from Ecoinvent U",Agribalyse 3.2,NL,,TRUE
