Ingrédient de base,Nom,Alias,Variante,ecs,scenario,defaultOrigin,cropGroup,ingredientCategories,inediblePart,ingredientDensity,rawToCookedRatio,transportCooling,cropGroupMatch,cropGroupConf,densityMatch,densityConf,transportCoolingMatch,transportCoolingConf,foodType,foodTypeMatch,foodTypeConf,novaGroup,novaGroupMatch,novaGroupConf,Type de création,Activité existante,Nouveau nom,Profondeur,Chemin amont,Remplacé (from),Remplaçant (to),Base cible (source)
almond-in-shell,Amandes décortiquées Origine Inconnue,almond-in-shell-unshelled-default,default,,import,OutOfEuropeAndMaghreb,FRUITS A COQUES,nut_oilseed_processed,0,0.46,1.0,none,matched 'almond' in cropgroup.csv,0.950,Matched with Almonds in fao_density.csv,0.950,nut_oilseed → none (non-perishable),1.000,nut_oilseed,Matched with almond in food_type.csv,0.950,1,raw_at_processing → NOVA 1,0.900,existing,"Almond, unshelled, at processing {FR} U",,,,,,Agribalyse 3.2
almond-in-shell,Amandes décortiquées UE,almond-in-shell-unshelled-eu,eu,,import,EuropeAndMaghreb,FRUITS A COQUES,nut_oilseed_processed,0,0.46,1.0,none,matched 'almond' in cropgroup.csv,0.950,Matched with Almonds in fao_density.csv,0.950,nut_oilseed → none (non-perishable),1.000,nut_oilseed,Matched with almond in food_type.csv,0.950,1,raw_at_processing → NOVA 1,0.900,existing,"Almond, unshelled, at processing {FR} U",,,,,,Agribalyse 3.2
almond-in-shell,Amandes décortiquées FR,almond-in-shell-unshelled-fr,fr,,reference,France,FRUITS A COQUES,nut_oilseed_processed,0,0.46,1.0,none,matched 'almond' in cropgroup.csv,0.950,Matched with Almonds in fao_density.csv,0.950,nut_oilseed → none (non-perishable),1.000,nut_oilseed,Matched with almond in food_type.csv,0.950,1,raw_at_processing → NOVA 1,0.900,existing,"Almond, unshelled, at processing {FR} U",,,,,,Agribalyse 3.2
almond-in-shell,Amandes décortiquées HORS UE,almond-in-shell-unshelled-non-eu,non-eu,,import,OutOfEuropeAndMaghreb,FRUITS A COQUES,nut_oilseed_processed,0,0.46,1.0,none,matched 'almond' in cropgroup.csv,0.950,Matched with Almonds in fao_density.csv,0.950,nut_oilseed → none (non-perishable),1.000,nut_oilseed,Matched with almond in food_type.csv,0.950,1,raw_at_processing → NOVA 1,0.900,existing,"Almond, unshelled, at processing {FR} U",,,,,,Agribalyse 3.2
almond-in-shell,Amandes décortiquées Bio,almond-in-shell-unshelled-organic,organic,,organic,France,FRUITS A COQUES,nut_oilseed_processed;organic,0,0.46,1.0,none,matched 'almond' in cropgroup.csv,0.950,Matched with Almonds in fao_density.csv,0.950,nut_oilseed → none (non-perishable),1.000,nut_oilseed,Matched with almond in food_type.csv,0.950,1,raw_at_processing → NOVA 1,0.900,from_existing,"Almond, unshelled, at processing {FR} U","Almond, unshelled, at processing {FR} U [almond-in-shell-organic] {{almond-in-shell-unshelled-organic}}",0,,"Almond, consumption mix {FR} U","Almonds, in shell, at farm, organic 2025 {CN} [Ginko 2025, CN]",Ginko 2025
apple,Jus de pomme Origine Inconnue,apple-juice-default,default,,import,OutOfEuropeAndMaghreb,VERGERS,vegetable_processed,0,0.85,1.0,always,fruit default,1.000,fruit default from food_type_density.csv,1.000,fruit NOVA 1 → always (perishable),1.000,fruit,FoodOn ontology: fruit features detected,1.000,1,at_farm_source → NOVA 1,0.950,from_existing,"Apple juice, industrial production, at plant, NFC, 1L {FR} U","Apple juice, industrial production, at plant, NFC, 1L {FR} U [apple-default] {{apple-juice-default}}",0,,"Table apple, consumption mix {FR} U","Apple, at farm (WFLDB) [WFLDB, CN]",WFLDB
apple,Jus de pomme UE,apple-juice-eu,eu,,import,EuropeAndMaghreb,VERGERS,vegetable_processed,0,0.85,1.0,always,fruit default,1.000,fruit default from food_type_density.csv,1.000,fruit NOVA 1 → always (perishable),1.000,fruit,FoodOn ontology: fruit features detected,1.000,1,at_farm_source → NOVA 1,0.950,from_existing,"Apple juice, industrial production, at plant, NFC, 1L {FR} U","Apple juice, industrial production, at plant, NFC, 1L {FR} U [apple-eu] {{apple-juice-eu}}",0,,"Table apple, consumption mix {FR} U","Apple {CN}| apple production | Cut-off, U [Ecoinvent 3.11]",Ecoinvent 3.11
apple,Jus de pomme FR,apple-juice-fr,fr,,reference,France,VERGERS,vegetable_processed,0,0.85,1.0,always,fruit default,1.000,fruit default from food_type_density.csv,1.000,fruit NOVA 1 → always (perishable),1.000,fruit,FoodOn ontology: fruit features detected,1.000,1,at_farm_source → NOVA 1,0.950,existing,"Apple juice, industrial production, at plant, NFC, 1L {FR} U",,,,,,Agribalyse 3.2
apple,Jus de pomme HORS UE,apple-juice-non-eu,non-eu,,import,OutOfEuropeAndMaghreb,VERGERS,vegetable_processed,0,0.85,1.0,always,fruit default,1.000,fruit default from food_type_density.csv,1.000,fruit NOVA 1 → always (perishable),1.000,fruit,FoodOn ontology: fruit features detected,1.000,1,at_farm_source → NOVA 1,0.950,from_existing,"Apple juice, industrial production, at plant, NFC, 1L {FR} U","Apple juice, industrial production, at plant, NFC, 1L {FR} U [apple-non-eu] {{apple-juice-non-eu}}",0,,"Table apple, consumption mix {FR} U","Apple {CN}| apple production | Cut-off, U [Ecoinvent 3.11]",Ecoinvent 3.11
apple,Jus de pomme Bio,apple-juice-organic,organic,,organic,France,VERGERS,vegetable_processed;organic,0,0.85,1.0,always,fruit default,1.000,fruit default from food_type_density.csv,1.000,fruit NOVA 1 → always (perishable),1.000,fruit,FoodOn ontology: fruit features detected,1.000,1,at_farm_source → NOVA 1,0.950,from_existing,"Apple juice, industrial production, at plant, NFC, 1L {FR} U","Apple juice, industrial production, at plant, NFC, 1L {FR} U [apple-organic] {{apple-juice-organic}}",0,,"Table apple, consumption mix {FR} U","Apple, organic 2025, national average, at orchard {FR} U [Ginko 2025, FR]",Ginko 2025
apple,"Pommes de table, pelées Origine Inconnue",apple-table-peeled-default,default,,import,OutOfEuropeAndMaghreb,VERGERS,vegetable_processed,0,0.9,1.0,always,matched 'apple' in cropgroup.csv,0.950,vegetable default from food_type_density.csv,1.000,vegetable NOVA 1 → always (perishable),1.000,vegetable,Default: vegetable (no trusted match for frozen fruit),0.500,1,default_vegetable → NOVA 1,0.700,from_existing,"Table apple, peeled, at processing {FR} U","Table apple, peeled, at processing {FR} U [apple-default] {{apple-table-peeled-default}}",0,,"Table apple, consumption mix {FR} U","Apple, at farm (WFLDB) [WFLDB, CN]",WFLDB
apple,"Pommes de table, pelées UE",apple-table-peeled-eu,eu,,import,EuropeAndMaghreb,VERGERS,vegetable_processed,0,0.9,1.0,always,matched 'apple' in cropgroup.csv,0.950,vegetable default from food_type_density.csv,1.000,vegetable NOVA 1 → always (perishable),1.000,vegetable,Default: vegetable (no trusted match for frozen fruit),0.500,1,default_vegetable → NOVA 1,0.700,from_existing,"Table apple, peeled, at processing {FR} U","Table apple, peeled, at processing {FR} U [apple-eu] {{apple-table-peeled-eu}}",0,,"Table apple, consumption mix {FR} U","Apple {CN}| apple production | Cut-off, U [Ecoinvent 3.11]",Ecoinvent 3.11
